Input Data
----------

Decay Rate A = 0.00016045073624072808 /s
Decay Rate B = 2.1158338844931175e-05 /s
Initial Count A = 100.0
Initial Count B = 0.0
Initial Count C = 0.0
Time Delta = 3600 s
Final Time = 180000 s


Output Data
-----------

Max N(B)
--------
Analytical : 73.51066601554557 at t = 14544.604692043175 s
Numerical  : 82.14194474995048 at t = 10800 s

 Time                       Analytical                                             Numerical                         
 (s)           N (A)     |    N (B)     |    N (C)              N (A)     |    N (B)     |    N (C)     |  N (total)   
------     --------------|--------------|--------------     --------------|--------------|--------------|--------------
     0     100           |0             |0                  100           |0             |0             |100           
  3600     56.1231024    |42.0935611    |1.78333645         42.237735     |57.762265     |0             |100           
  7200     31.4980262    |62.6305747    |5.87139909         17.8402625    |77.7599846    |4.39975287    |100           
 10800     17.6776695    |71.2958042    |11.0265262         7.53532281    |82.1419447    |10.3227324    |100           
 14400     9.92125657    |73.5080338    |16.5707096         3.18274967    |80.2377643    |16.579486     |100           
 18000     5.56811699    |72.2930651    |22.1388179         1.34432137    |75.9644805    |22.6911981    |100           
 21600     3.125         |69.3348123    |27.5401877         0.567810898   |70.954775     |28.4774141    |100           
 25200     1.75384695    |65.5651268    |32.6810262         0.239830462   |65.8781288    |33.8820407    |100           
 28800     0.98431332    |61.4947481    |37.5209386         0.101298955   |60.998722     |38.8999791    |100           
 32400     0.552427173   |57.3989723    |42.0486005         0.0427863841  |56.4109607    |43.546253     |100           
 36000     0.310039268   |53.4217901    |46.2681707         0.0180719995  |52.1388511    |47.8430769    |100           
 39600     0.174003656   |49.6342701    |50.1917263         0.00763320325 |48.1778725    |51.8144943    |100           
 43200     0.09765625    |46.0672697    |53.8350741         0.00322409216 |44.5125721    |55.4842038    |100           
 46800     0.0548077172  |42.7297406    |57.2154517         0.0013617835  |41.1239109    |58.8747273    |100           
 50400     0.0307597913  |39.6189539    |60.3502863         0.000575186506|37.9922884    |62.0071364    |100           
 54000     0.0172633492  |36.726194     |63.2565427         0.000242945752|35.0987473    |64.9010098    |100           
 57600     0.00968872712 |34.0399118    |65.9503995         0.000102614783|32.4254154    |67.574482     |100           
 61200     0.00543761425 |31.5474568    |68.4471056         4.33421599E-05|29.9556301    |70.0443266    |100           
 64800     0.00305175781 |29.2360124    |70.7609358         1.83067466E-05|27.6739342    |72.3260475    |100           
 68400     0.00171274116 |27.0930882    |72.9051991         7.73235512E-06|25.5660207    |74.4339716    |100           
 72000     0.000961243477|25.1067653    |74.8922735         3.26597166E-06|23.6186608    |76.3813359    |100           
 75600     0.000539479661|23.2658056    |76.7336549         1.37947245E-06|21.8196288    |78.1803698    |100           
 79200     0.000302772723|21.559687     |78.4400103         5.82657919E-07|20.1576281    |79.8423713    |100           
 82800     0.000169925445|19.9785977    |80.0212324         2.46101508E-07|18.6222215    |81.3777783    |100           
 86400     9.53674316E-05|18.5134118    |81.4864929         1.03947702E-07|17.2037666    |82.7962333    |100           
 90000     5.35231613E-05|17.1556532    |82.8442933         4.39051551E-08|15.8933555    |84.1066445    |100           
 93600     3.00388586E-05|15.8974568    |84.1025131         1.8544543E-08 |14.6827583    |85.3172417    |100           
 97200     1.68587394E-05|14.7315284    |85.2684547         7.83279493E-09|13.5643723    |86.4356277    |100           
100800     9.46164758E-06|13.6511052    |86.3488853         3.30839516E-09|12.5311738    |87.4688262    |100           
104400     5.31017016E-06|12.6499186    |87.3500761         1.39739118E-09|11.576674     |88.423326     |100           
108000     2.98023224E-06|11.7221586    |88.2778384         5.90226383E-10|10.6948786    |89.3051214    |100           
111600     1.67259879E-06|10.8624409    |89.1375575         2.49298255E-10|9.88024944    |90.1197506    |100           
115200     9.38714333E-07|10.0657754    |89.9342236         1.05297936E-10|9.12767065    |90.8723294    |100           
118800     5.26835606E-07|9.32753819    |90.6724613         4.44754632E-11|8.43241579    |91.5675842    |100           
122400     2.95676487E-07|8.6434441     |91.3565556         1.87854283E-11|7.79011851    |92.2098815    |100           
126000     1.65942818E-07|8.0095223     |91.9904775         7.93453941E-12|7.19674503    |92.803255     |100           
129600     9.31322575E-08|7.42209314    |92.5779068         3.35136973E-12|6.64856882    |93.3514312    |100           
133200     5.22687122E-08|6.87774679    |93.1222532         1.41554266E-12|6.1421472     |93.8578528    |100           
136800     2.93348229E-08|6.37332353    |93.6266764         5.97893158E-13|5.67429973    |94.3257003    |100           
140400     1.64636127E-08|5.90589534    |94.0941046         2.52536527E-13|5.2420882     |94.7579118    |100           
144000     9.23989022E-09|5.47274897    |94.527251          1.06665709E-13|4.84279824    |95.1572018    |100           
147600     5.18571305E-09|5.07137014    |94.9286299         4.50531795E-14|4.4739222     |95.5260778    |100           
151200     2.91038305E-09|4.69942897    |95.300571          1.90294425E-14|4.13314346    |95.8668565    |100           
154800     1.63339726E-09|4.35476647    |95.6452335         8.0376055E-15 |3.81832184    |96.1816782    |100           
158400     9.16713216E-10|4.03538199    |95.964618          3.39490251E-15|3.52748019    |96.4725198    |100           
162000     5.14487897E-10|3.7394216     |96.2605784         1.43392992E-15|3.25879195    |96.741208     |100           
165600     2.88746569E-10|3.46516734    |96.5348327         6.0565952E-16 |3.01056971    |96.9894303    |100           
169200     1.62053533E-10|3.21102727    |96.7889727         2.55816863E-16|2.78125455    |97.2187454    |100           
172800     9.09494702E-11|2.97552617    |97.0244738         1.08051249E-16|2.56940634    |97.4305937    |100           
176400     5.10436643E-11|2.75729704    |97.242703          4.56384E-17   |2.37369461    |97.6263054    |100           
180000     2.8647288E-11 |2.55507314    |97.4449269         1.92766264E-17|2.19289024    |97.8071098    |100           
