Input Data
----------

Decay Rate A = 0.00016045073624072808 /s
Decay Rate B = 2.1158338844931175e-05 /s
Initial Count A = 100.0
Initial Count B = 0.0
Initial Count C = 0.0
Time Delta = 56.25 s
Final Time = 180000 s


Output Data
-----------

Max N(B)
--------
Analytical : 73.51066601554557 at t = 14544.604692043175 s
Numerical  : 73.61307233309724 at t = 14512.5 s

   Time                          Analytical                                             Numerical                         
    (s)             N (A)     |    N (B)     |    N (C)              N (A)     |    N (B)     |    N (C)     |  N (total)   
-----------     --------------|--------------|--------------     --------------|--------------|--------------|--------------
          0     100           |0             |0                  100           |0             |0             |100           
      56.25     99.1015252    |0.897939512   |0.000535254545     99.0974646    |0.902535391   |0             |100           
      112.5     98.211123     |1.78674321    |0.00213375286      98.2030749    |1.79585092    |0.00107415842 |100           
     168.75     97.3287209    |2.66649445    |0.00478467158      97.3167574    |2.68003109    |0.00321150217 |100           
      225.0     96.4542469    |3.53727583    |0.00847728608      96.4384392    |3.55515961    |0.00640115875 |100           
     281.25     95.5876298    |4.39916922    |0.0132009696       95.5680482    |4.42131945    |0.0106323553  |100           
      337.5     94.7287991    |5.25225573    |0.0189451924       94.7055127    |5.27859285    |0.0158944176  |100           
     393.75     93.8776847    |6.09661576    |0.0256995209       93.850762     |6.12706127    |0.0221767695  |100           
      450.0     93.0342174    |6.93232897    |0.0334536166       93.0037256    |6.96680545    |0.0294689317  |100           
     506.25     92.1983284    |7.75947432    |0.0421972355       92.1643341    |7.7979054     |0.0377605209  |100           
      562.5     91.3699497    |8.57813004    |0.0519202271       91.3325183    |8.6204404     |0.0470412492  |100           
     618.75     90.5490138    |9.38837368    |0.0626125337       90.50821      |9.43448903    |0.0573009229  |100           
      675.0     89.7354538    |10.1902821    |0.0742641894       89.6913414    |10.2401291    |0.0685294419  |100           
     731.25     88.9292033    |10.9839313    |0.0868653193       88.8818453    |11.0374379    |0.0807167988  |100           
      787.5     88.1301969    |11.769397     |0.100406139        88.0796552    |11.8264917    |0.0938530779  |100           
     843.75     87.3383693    |12.5467537    |0.114876952        87.2847051    |12.6073664    |0.107928455   |100           
      900.0     86.5536561    |13.3160757    |0.130268154        86.4969298    |13.380137     |0.122933194   |100           
     956.25     85.7759933    |14.0774364    |0.146570224        85.7162644    |14.144878     |0.138857652   |100           
     1012.5     85.0053177    |14.8309086    |0.163773731        84.9426448    |14.901663     |0.155692272   |100           
    1068.75     84.2415664    |15.5765643    |0.181869329        84.1760073    |15.6505651    |0.173427583   |100           
     1125.0     83.4846771    |16.3144751    |0.200847759        83.4162891    |16.3916567    |0.192054206   |100           
    1181.25     82.7345884    |17.0447118    |0.220699844        82.6634275    |17.1250096    |0.211562844   |100           
     1237.5     81.991239     |17.7673445    |0.241416493        81.9173609    |17.8506949    |0.231944286   |100           
    1293.75     81.2545684    |18.4824429    |0.262988698        81.1780277    |18.5687829    |0.253189408   |100           
     1350.0     80.5245166    |19.1900759    |0.285407533        80.4453673    |19.2793436    |0.275289167   |100           
    1406.25     79.8010241    |19.8903117    |0.308664153        79.7193193    |19.9824461    |0.298234604   |100           
     1462.5     79.0840321    |20.5832181    |0.332749795        78.9998243    |20.6781589    |0.322016843   |100           
    1518.75     78.373482     |21.2688622    |0.357655776        78.2868229    |21.36655      |0.34662709    |100           
     1575.0     77.669316     |21.9473105    |0.383373492        77.5802566    |22.0476868    |0.372056629   |100           
    1631.25     76.9714768    |22.6186287    |0.409894418        76.8800673    |22.7216358    |0.398296828   |100           
     1687.5     76.2799075    |23.2828824    |0.437210108        76.1861975    |23.3884633    |0.425339132   |100           
    1743.75     75.5945518    |23.940136     |0.465312192        75.4985901    |24.0482348    |0.453175065   |100           
     1800.0     74.9153538    |24.5904538    |0.494192376        74.8171886    |24.7010151    |0.48179623    |100           
    1856.25     74.2422583    |25.2338993    |0.523842445        74.141937     |25.3468687    |0.511194305   |100           
     1912.5     73.5752103    |25.8705354    |0.554254256        73.4727798    |25.9858591    |0.541361047   |100           
    1968.75     72.9141556    |26.5004246    |0.585419743        72.809662     |26.6180497    |0.572288288   |100           
     2025.0     72.2590403    |27.1236287    |0.617330913        72.152529     |27.2435031    |0.603967934   |100           
    2081.25     71.6098111    |27.740209     |0.649979845        71.5013269    |27.8622811    |0.636391968   |100           
     2137.5     70.966415     |28.3502263    |0.683358693        70.8560021    |28.4744454    |0.669552445   |100           
    2193.75     70.3287997    |28.9537406    |0.717459681        70.2165016    |29.0800569    |0.703441493   |100           
     2250.0     69.6969132    |29.5508117    |0.752275105        69.5827728    |29.6791759    |0.738051313   |100           
    2306.25     69.070704     |30.1414987    |0.787797333        68.9547637    |30.2718621    |0.773374179   |100           
     2362.5     68.4501211    |30.7258601    |0.8240188          68.3324225    |30.858175     |0.809402435   |100           
    2418.75     67.8351141    |31.3039539    |0.860932014        67.7156982    |31.4381733    |0.846128494   |100           
     2475.0     67.2256327    |31.8758378    |0.898529549        67.1045401    |32.0119151    |0.883544842   |100           
    2531.25     66.6216274    |32.4415686    |0.936804048        66.4988979    |32.5794581    |0.921644033   |100           
     2587.5     66.0230488    |33.0012029    |0.975748222        65.8987218    |33.1408595    |0.960418689   |100           
    2643.75     65.4298484    |33.5547967    |1.01535485         65.3039625    |33.696176     |0.9998615     |100           
     2700.0     64.8419777    |34.1024055    |1.05561677         64.7145711    |34.2454636    |1.03996522    |100           
    2756.25     64.2593889    |34.6440842    |1.0965269          64.1304992    |34.7887781    |1.08072269    |100           
     2812.5     63.6820345    |35.1798873    |1.13807821         63.5516988    |35.3261745    |1.12212678    |100           
    2868.75     63.1098675    |35.7098687    |1.18026374         62.9781222    |35.8577073    |1.16417046    |100           
     2925.0     62.5428413    |36.2340821    |1.22307659         62.4097224    |36.3834309    |1.20684674    |100           
    2981.25     61.9809096    |36.7525804    |1.26650993         61.8464525    |36.9033988    |1.25014872    |100           
     3037.5     61.4240268    |37.2654162    |1.31055699         61.2882664    |37.4176641    |1.29406955    |100           
    3093.75     60.8721474    |37.7726415    |1.35521106         60.7351181    |37.9262795    |1.33860242    |100           
     3150.0     60.3252265    |38.274308     |1.4004655          60.1869622    |38.4292972    |1.38374063    |100           
    3206.25     59.7832196    |38.7704667    |1.44631372         59.6437535    |38.926769     |1.42947751    |100           
     3262.5     59.2460825    |39.2611684    |1.49274919         59.1054475    |39.418746     |1.47580646    |100           
    3318.75     58.7137714    |39.7464632    |1.53976545         58.572        |39.9052791    |1.52272094    |100           
     3375.0     58.1862429    |40.226401     |1.58735609         58.0433669    |40.3864186    |1.57021447    |100           
    3431.25     57.6634542    |40.701031     |1.63551477         57.519505     |40.8622144    |1.61828063    |100           
     3487.5     57.1453626    |41.1704022    |1.6842352          57.0003711    |41.3327158    |1.66691307    |100           
    3543.75     56.631926     |41.6345629    |1.73351115         56.4859226    |41.7979719    |1.71610547    |100           
     3600.0     56.1231024    |42.0935611    |1.78333645         55.9761172    |42.2580312    |1.7658516     |100           
    3656.25     55.6188505    |42.5474445    |1.83370498         55.4709129    |42.7129418    |1.81614527    |100           
     3712.5     55.1191292    |42.9962602    |1.88461068         54.9702683    |43.1627514    |1.86698036    |100           
    3768.75     54.6238977    |43.4400548    |1.93604755         54.4741421    |43.6075071    |1.91835079    |100           
     3825.0     54.1331158    |43.8788746    |1.98800964         53.9824937    |44.0472557    |1.97025055    |100           
    3881.25     53.6467434    |44.3127656    |2.04049105         53.4952826    |44.4820437    |2.02267368    |100           
     3937.5     53.1647409    |44.7417731    |2.09348596         53.0124688    |44.911917     |2.07561428    |100           
    3993.75     52.6870691    |45.1659423    |2.14698856         52.5340125    |45.336921     |2.12906649    |100           
     4050.0     52.2136891    |45.5853177    |2.20099314         52.0598744    |45.7571011    |2.18302453    |100           
    4106.25     51.7445623    |45.9999437    |2.25549401         51.5900156    |46.1725017    |2.23748264    |100           
     4162.5     51.2796505    |46.409864     |2.31048554         51.1243975    |46.5831674    |2.29243515    |100           
    4218.75     50.8189157    |46.8151221    |2.36596217         50.6629817    |46.9891419    |2.34787641    |100           
     4275.0     50.3623206    |47.215761     |2.42191836         50.2057303    |47.3904688    |2.40380084    |100           
    4331.25     49.9098279    |47.6118235    |2.47834865         49.7526059    |47.7871912    |2.46020292    |100           
     4387.5     49.4614007    |48.0033517    |2.53524761         49.303571     |48.1793519    |2.51707716    |100           
    4443.75     49.0170025    |48.3903877    |2.59260987         48.8585888    |48.5669931    |2.57441813    |100           
     4500.0     48.5765971    |48.7729728    |2.65043012         48.4176228    |48.9501568    |2.63222046    |100           
    4556.25     48.1401486    |49.1511483    |2.70870307         47.9806366    |49.3288846    |2.69047881    |100           
     4612.5     47.7076215    |49.524955     |2.76742351         47.5475943    |49.7032177    |2.7491879     |100           
    4668.75     47.2789806    |49.8944332    |2.82658625         47.1184605    |50.073197     |2.80834251    |100           
     4725.0     46.8541909    |50.259623     |2.88618618         46.6931997    |50.4388628    |2.86793746    |100           
    4781.25     46.4332178    |50.620564     |2.94621821         46.271777     |50.8002554    |2.9279676     |100           
     4837.5     46.016027     |50.9772957    |3.0066773          45.8541579    |51.1574143    |2.98842786    |100           
    4893.75     45.6025846    |51.3298569    |3.06755848         45.4403079    |51.5103789    |3.04931319    |100           
     4950.0     45.1928569    |51.6782863    |3.1288568          45.030193     |51.8591884    |3.11061861    |100           
    5006.25     44.7868105    |52.0226221    |3.19056736         44.6237796    |52.2038813    |3.17233916    |100           
     5062.5     44.3844123    |52.3629024    |3.25268532         44.2210342    |52.5444959    |3.23446995    |100           
    5118.75     43.9856296    |52.6991646    |3.31520587         43.8219237    |52.8810702    |3.29700613    |100           
     5175.0     43.5904298    |53.031446     |3.37812425         43.4264153    |53.2136418    |3.35994288    |100           
    5231.25     43.1987808    |53.3597835    |3.44143575         43.0344766    |53.542248     |3.42327544    |100           
     5287.5     42.8106506    |53.6842137    |3.50513569         42.6460752    |53.8669257    |3.4869991     |100           
    5343.75     42.4260077    |54.0047728    |3.56921945         42.2611793    |54.1877116    |3.55110918    |100           
     5400.0     42.0448208    |54.3214968    |3.63368244         41.8797572    |54.5046418    |3.61560104    |100           
    5456.25     41.6670587    |54.6344212    |3.69852012         41.5017775    |54.8177524    |3.68047009    |100           
     5512.5     41.2926906    |54.9435814    |3.76372798         41.1272093    |55.1270789    |3.7457118     |100           
    5568.75     40.9216862    |55.2490122    |3.82930156         40.7560217    |55.4326567    |3.81132166    |100           
     5625.0     40.5540152    |55.5507483    |3.89523646         40.3881842    |55.7345206    |3.8772952     |100           
