Input Data
----------

Decay Rate A = 0.00016045073624072808 /s
Decay Rate B = 2.1158338844931175e-05 /s
Initial Count A = 100.0
Initial Count B = 0.0
Initial Count C = 0.0
Time Delta = 28.125 s
Final Time = 180000 s


Output Data
-----------

Max N(B)
--------
Analytical : 73.51066601554557 at t = 14544.604692043175 s
Numerical  : 73.56178515255509 at t = 14512.5 s

    Time                          Analytical                                             Numerical                         
    (s)              N (A)     |    N (B)     |    N (C)              N (A)     |    N (B)     |    N (C)     |  N (total)   
------------     --------------|--------------|--------------     --------------|--------------|--------------|--------------
           0     100           |0             |0                  100           |0             |0             |100           
      28.125     99.549749     |0.450116971   |0.000134041458     99.5487323    |0.451267696   |0             |100           
       56.25     99.1015252    |0.897939512   |0.000535254545     99.099501     |0.900230426   |0.000268539604|100           
      84.375     98.6553196    |1.34347811    |0.00120227702      98.652297     |1.34689875    |0.000804247178|100           
       112.5     98.211123     |1.78674321    |0.00213375286      98.2071111    |1.79128319    |0.00160575737 |100           
     140.625     97.7689265    |2.22774521    |0.00332833226      97.7639341    |2.2333942     |0.00267171109 |100           
      168.75     97.3287209    |2.66649445    |0.00478467158      97.322757     |2.67324221    |0.00400075547 |100           
     196.875     96.8904973    |3.10300124    |0.00650143331      96.8835709    |3.11083759    |0.00559154385 |100           
       225.0     96.4542469    |3.53727583    |0.00847728608      96.4463666    |3.54619065    |0.00744273573 |100           
     253.125     96.0199607    |3.96932844    |0.0107109046       96.0111353    |3.97931169    |0.00955299677 |100           
      281.25     95.5876298    |4.39916922    |0.0132009696       95.5778681    |4.41021092    |0.0119209987  |100           
     309.375     95.1572455    |4.82680829    |0.015946168        95.146556     |4.83889855    |0.0145454195  |100           
       337.5     94.7287991    |5.25225573    |0.0189451924       94.7171904    |5.26538469    |0.0174249429  |100           
     365.625     94.3022817    |5.67552156    |0.0221967418       94.2897623    |5.68967946    |0.0205582589  |100           
      393.75     93.8776847    |6.09661576    |0.0256995209       93.864263     |6.11179289    |0.0239440636  |100           
     421.875     93.4549995    |6.51554826    |0.0294522403       93.4406839    |6.53173499    |0.0275810588  |100           
       450.0     93.0342174    |6.93232897    |0.0334536166       93.0190163    |6.94951572    |0.0314679524  |100           
     478.125     92.6153299    |7.34696772    |0.0377023722       92.5992516    |7.36514499    |0.0356034583  |100           
      506.25     92.1983284    |7.75947432    |0.0421972355       92.181381     |7.77863266    |0.0399862961  |100           
     534.375     91.7832045    |8.16985852    |0.0469369405       91.7653963    |8.18998856    |0.0446151915  |100           
       562.5     91.3699497    |8.57813004    |0.0519202271       91.3512887    |8.59922246    |0.0494888758  |100           
     590.625     90.9585556    |8.98429855    |0.0571458411       90.9390498    |9.00634411    |0.0546060863  |100           
      618.75     90.5490138    |9.38837368    |0.0626125337       90.5286713    |9.41136318    |0.059965566   |100           
     646.875     90.1413159    |9.790365      |0.0683190622       90.1201446    |9.81428933    |0.0655660638  |100           
       675.0     89.7354538    |10.1902821    |0.0742641894       89.7134615    |10.2151322    |0.0714063343  |100           
     703.125     89.331419     |10.5881344    |0.0804466837       89.3086136    |10.6139012    |0.0774851375  |100           
      731.25     88.9292033    |10.9839313    |0.0868653193       88.9055927    |11.010606     |0.0838012396  |100           
     759.375     88.5287987    |11.3776824    |0.0935188758       88.5043905    |11.4052561    |0.0903534121  |100           
       787.5     88.1301969    |11.769397     |0.100406139        88.1049988    |11.7978608    |0.0971404323  |100           
     815.625     87.7333898    |12.1590843    |0.107525899        87.7074094    |12.1884295    |0.104161083   |100           
      843.75     87.3383693    |12.5467537    |0.114876952        87.3116142    |12.5769717    |0.111414153   |100           
     871.875     86.9451274    |12.9324145    |0.122458102        86.9176051    |12.9634965    |0.118898435   |100           
       900.0     86.5536561    |13.3160757    |0.130268154        86.525374     |13.3480133    |0.126612731   |100           
     928.125     86.1639474    |13.6977467    |0.138305922        86.1349129    |13.7305312    |0.134555843   |100           
      956.25     85.7759933    |14.0774364    |0.146570224        85.7462139    |14.1110595    |0.142726584   |100           
     984.375     85.3897861    |14.4551541    |0.155059884        85.3592689    |14.4896073    |0.151123769   |100           
      1012.5     85.0053177    |14.8309086    |0.163773731        84.9740701    |14.8661837    |0.15974622    |100           
    1040.625     84.6225804    |15.204709     |0.172710599        84.5906096    |15.2407977    |0.168592763   |100           
     1068.75     84.2415664    |15.5765643    |0.181869329        84.2088795    |15.6134583    |0.177662231   |100           
    1096.875     83.8622679    |15.9464834    |0.191248765        83.828872     |15.9841745    |0.18695346    |100           
      1125.0     83.4846771    |16.3144751    |0.200847759        83.4505794    |16.3529553    |0.196465296   |100           
    1153.125     83.1087865    |16.6805483    |0.210665164        83.0739939    |16.7198095    |0.206196584   |100           
     1181.25     82.7345884    |17.0447118    |0.220699844        82.6991078    |17.084746     |0.21614618    |100           
    1209.375     82.3620751    |17.4069743    |0.230950663        82.3259134    |17.4477736    |0.226312941   |100           
      1237.5     81.991239     |17.7673445    |0.241416493        81.9544032    |17.8089011    |0.236695732   |100           
    1265.625     81.6220726    |18.1258312    |0.252096211        81.5845694    |18.1681371    |0.247293422   |100           
     1293.75     81.2545684    |18.4824429    |0.262988698        81.2164046    |18.5254905    |0.258104886   |100           
    1321.875     80.8887189    |18.8371883    |0.274092841        80.8499012    |18.8809698    |0.269129003   |100           
      1350.0     80.5245166    |19.1900759    |0.285407533        80.4850517    |19.2345836    |0.280364658   |100           
    1378.125     80.1619541    |19.5411142    |0.296931669        80.1218487    |19.5863405    |0.291810741   |100           
     1406.25     79.8010241    |19.8903117    |0.308664153        79.7602847    |19.9362492    |0.303466147   |100           
    1434.375     79.4417192    |20.2376769    |0.320603891        79.4003523    |20.2843179    |0.315329776   |100           
      1462.5     79.0840321    |20.5832181    |0.332749795        79.0420442    |20.6305553    |0.327400533   |100           
    1490.625     78.7279554    |20.9269438    |0.345100783        78.6853529    |20.9749697    |0.339677328   |100           
     1518.75     78.373482     |21.2688622    |0.357655776        78.3302714    |21.3175696    |0.352159077   |100           
    1546.875     78.0206046    |21.6089817    |0.370413702        77.9767922    |21.6583631    |0.3648447     |100           
      1575.0     77.669316     |21.9473105    |0.383373492        77.6249081    |21.9973588    |0.377733121   |100           
    1603.125     77.3196092    |22.2838568    |0.396534084        77.2746119    |22.3345648    |0.390823272   |100           
     1631.25     76.9714768    |22.6186287    |0.409894418        76.9258966    |22.6699893    |0.404114086   |100           
    1659.375     76.624912     |22.9516346    |0.423453443        76.5787549    |23.0036406    |0.417604504   |100           
      1687.5     76.2799075    |23.2828824    |0.437210108        76.2331797    |23.3355268    |0.431293471   |100           
    1715.625     75.9364565    |23.6123801    |0.451163371        75.889164     |23.6656561    |0.445179936   |100           
     1743.75     75.5945518    |23.940136     |0.465312192        75.5467007    |23.9940365    |0.459262854   |100           
    1771.875     75.2541866    |24.2661579    |0.479655537        75.2057828    |24.320676     |0.473541184   |100           
      1800.0     74.9153538    |24.5904538    |0.494192376        74.8664034    |24.6455827    |0.48801389    |100           
    1828.125     74.5780467    |24.9130316    |0.508921686        74.5285555    |24.9687645    |0.502679941   |100           
     1856.25     74.2422583    |25.2338993    |0.523842445        74.1922322    |25.2902295    |0.517538311   |100           
    1884.375     73.9079818    |25.5530646    |0.538953639        73.8574267    |25.6099854    |0.532587977   |100           
      1912.5     73.5752103    |25.8705354    |0.554254256        73.524132     |25.9280401    |0.547827923   |100           
    1940.625     73.2439372    |26.1863195    |0.569743292        73.1923413    |26.2444016    |0.563257136   |100           
     1968.75     72.9141556    |26.5004246    |0.585419743        72.8620479    |26.5590775    |0.57887461    |100           
    1996.875     72.5858589    |26.8128585    |0.601282614        72.533245     |26.8720756    |0.59467934    |100           
      2025.0     72.2590403    |27.1236287    |0.617330913        72.2059259    |27.1834038    |0.610670328   |100           
    2053.125     71.9336933    |27.4327431    |0.633563651        71.8800839    |27.4930695    |0.626846582   |100           
     2081.25     71.6098111    |27.740209     |0.649979845        71.5557123    |27.8010806    |0.64320711    |100           
    2109.375     71.2873872    |28.0460343    |0.666578517        71.2328045    |28.1074446    |0.659750929   |100           
      2137.5     70.966415     |28.3502263    |0.683358693        70.9113539    |28.4121691    |0.676477059   |100           
    2165.625     70.646888     |28.6527926    |0.700319402        70.5913538    |28.7152617    |0.693384524   |100           
     2193.75     70.3287997    |28.9537406    |0.717459681        70.2727978    |29.0167298    |0.710472352   |100           
    2221.875     70.0121436    |29.2530779    |0.734778567        69.9556794    |29.316581     |0.727739578   |100           
      2250.0     69.6969132    |29.5508117    |0.752275105        69.639992     |29.6148227    |0.745185239   |100           
    2278.125     69.3831021    |29.8469495    |0.769948343        69.3257292    |29.9114624    |0.762808376   |100           
     2306.25     69.070704     |30.1414987    |0.787797333        69.0128846    |30.2065073    |0.780608038   |100           
    2334.375     68.7597125    |30.4344664    |0.805821132        68.7014518    |30.499965     |0.798583274   |100           
      2362.5     68.4501211    |30.7258601    |0.8240188          68.3914243    |30.7918426    |0.816733141   |100           
    2390.625     68.1419238    |31.0156868    |0.842389405        68.0827959    |31.0821474    |0.835056698   |100           
     2418.75     67.8351141    |31.3039539    |0.860932014        67.7755602    |31.3708868    |0.853553009   |100           
    2446.875     67.5296858    |31.5906685    |0.879645703        67.469711     |31.6580678    |0.872221142   |100           
      2475.0     67.2256327    |31.8758378    |0.898529549        67.165242     |31.9436978    |0.89106017    |100           
    2503.125     66.9229486    |32.1594688    |0.917582635        66.862147     |32.2277839    |0.910069171   |100           
     2531.25     66.6216274    |32.4415686    |0.936804048        66.5604197    |32.5103331    |0.929247225   |100           
    2559.375     66.3216628    |32.7221443    |0.956192879        66.260054     |32.7913525    |0.948593418   |100           
      2587.5     66.0230488    |33.0012029    |0.975748222        65.9610438    |33.0708493    |0.96810684    |100           
    2615.625     65.7257794    |33.2787514    |0.995469177        65.6633829    |33.3488305    |0.987786584   |100           
     2643.75     65.4298484    |33.5547967    |1.01535485         65.3670653    |33.625303     |1.00763175    |100           
    2671.875     65.1352499    |33.8293458    |1.03540434         65.0720848    |33.9002737    |1.02764144    |100           
      2700.0     64.8419777    |34.1024055    |1.05561677         64.7784356    |34.1737497    |1.04781475    |100           
    2728.125     64.5500261    |34.3739827    |1.07599125         64.4861114    |34.4457378    |1.06815081    |100           
     2756.25     64.2593889    |34.6440842    |1.0965269          64.1951064    |34.7162449    |1.08864872    |100           
    2784.375     63.9700604    |34.9127168    |1.11722284         63.9054146    |34.9852778    |1.1093076     |100           
      2812.5     63.6820345    |35.1798873    |1.13807821         63.6170301    |35.2528433    |1.13012658    |100           
