Input Data
----------

Decay Rate A = 0.00016045073624072808 /s
Decay Rate B = 2.1158338844931175e-05 /s
Initial Count A = 100.0
Initial Count B = 0.0
Initial Count C = 0.0
Time Delta = 14.0625 s
Final Time = 180000 s


Output Data
-----------

Max N(B)
--------
Analytical : 73.51066601554557 at t = 14544.604692043175 s
Numerical  : 73.5362038412914 at t = 14526.5625 s

    Time                           Analytical                                             Numerical                         
     (s)              N (A)     |    N (B)     |    N (C)              N (A)     |    N (B)     |    N (C)     |  N (total)   
-------------     --------------|--------------|--------------     --------------|--------------|--------------|--------------
            0     100           |0             |0                  100           |0             |0             |100           
      14.0625     99.7746205    |0.225345947   |3.35388912E-05     99.7743662    |0.225633848   |0             |100           
       28.125     99.549749     |0.450116971   |0.000134041458     99.5492414    |0.450691454   |6.7134901E-05 |100           
      42.1875     99.3253843    |0.674314389   |0.000301336834     99.3246246    |0.67517414    |0.000201233249|100           
        56.25     99.1015252    |0.897939512   |0.000535254545     99.1005147    |0.899083222   |0.000402123982|100           
      70.3125     98.8781707    |1.12099365    |0.000835624504     98.8769103    |1.12242001    |0.00066963643 |100           
       84.375     98.6553196    |1.34347811    |0.00120227702      98.6538106    |1.34518583    |0.00100360032 |100           
      98.4375     98.4329708    |1.5653942     |0.00163504278      98.4312142    |1.56738197    |0.00140384575 |100           
        112.5     98.211123     |1.78674321    |0.00213375286      98.20912      |1.78900975    |0.00187020323 |100           
     126.5625     97.9897753    |2.00752645    |0.00269823874      97.987527     |2.01007047    |0.00240250366 |100           
      140.625     97.7689265    |2.22774521    |0.00332833226      97.766434     |2.23056542    |0.00300057829 |100           
     154.6875     97.5485754    |2.44740078    |0.00402386567      97.5458398    |2.4504959     |0.00366425881 |100           
       168.75     97.3287209    |2.66649445    |0.00478467158      97.3257434    |2.66986322    |0.00439337725 |100           
     182.8125     97.1093619    |2.88502751    |0.005610583        97.1061436    |2.88866865    |0.00518776606 |100           
      196.875     96.8904973    |3.10300124    |0.00650143331      96.8870393    |3.10691349    |0.00604725805 |100           
     210.9375     96.672126     |3.32041692    |0.00745705629      96.6684293    |3.32459901    |0.00697168641 |100           
        225.0     96.4542469    |3.53727583    |0.00847728608      96.4503126    |3.54172651    |0.00796088474 |100           
     239.0625     96.2368588    |3.75357925    |0.00956195722      96.2326881    |3.75829726    |0.009014687   |100           
      253.125     96.0199607    |3.96932844    |0.0107109046       96.0155545    |3.97431254    |0.0101329275  |100           
     267.1875     95.8035514    |4.18452467    |0.0119239635       95.7989109    |4.18977361    |0.0113154411  |100           
       281.25     95.5876298    |4.39916922    |0.0132009696       95.5827562    |4.40468176    |0.0125620627  |100           
     295.3125     95.3721949    |4.61326334    |0.014541759        95.3670891    |4.61903825    |0.0138726279  |100           
      309.375     95.1572455    |4.82680829    |0.015946168        95.1519087    |4.83284433    |0.0152469726  |100           
     323.4375     94.9427806    |5.03980534    |0.0174140334       94.9372138    |5.04610129    |0.0166849329  |100           
        337.5     94.7287991    |5.25225573    |0.0189451924       94.7230033    |5.25881036    |0.0181863456  |100           
     351.5625     94.5152998    |5.46416072    |0.0205394826       94.5092761    |5.47097282    |0.0197510475  |100           
      365.625     94.3022817    |5.67552156    |0.0221967418       94.2960312    |5.6825899     |0.021378876   |100           
     379.6875     94.0897437    |5.88633949    |0.0239168084       94.0832675    |5.89366288    |0.023069669   |100           
       393.75     93.8776847    |6.09661576    |0.0256995209       93.8709838    |6.10419298    |0.0248232643  |100           
     407.8125     93.6661037    |6.3063516     |0.0275447184       93.659179     |6.31418145    |0.0266395007  |100           
      421.875     93.4549995    |6.51554826    |0.0294522403       93.4478522    |6.52362955    |0.0285182168  |100           
     435.9375     93.2443711    |6.72420697    |0.0314219263       93.2370023    |6.7325385     |0.0304592519  |100           
        450.0     93.0342174    |6.93232897    |0.0334536166       93.026628     |6.94090954    |0.0324624456  |100           
     464.0625     92.8245374    |7.13991547    |0.0355471516       92.8167285    |7.14874391    |0.0345276379  |100           
      478.125     92.6153299    |7.34696772    |0.0377023722       92.6073025    |7.35604283    |0.036654669   |100           
     492.1875     92.406594     |7.55348693    |0.0399191196       92.3983491    |7.56280754    |0.0388433797  |100           
       506.25     92.1983284    |7.75947432    |0.0421972355       92.1898671    |7.76903926    |0.0410936109  |100           
     520.3125     91.9905323    |7.96493111    |0.0445365616       91.9818556    |7.97473921    |0.0434052042  |100           
      534.375     91.7832045    |8.16985852    |0.0469369405       91.7743134    |8.17990861    |0.0457780012  |100           
     548.4375     91.576344     |8.37425776    |0.0493982146       91.5672395    |8.38454869    |0.0482118442  |100           
        562.5     91.3699497    |8.57813004    |0.0519202271       91.3606328    |8.58866064    |0.0507065756  |100           
     576.5625     91.1640206    |8.78147657    |0.0545028213       91.1544923    |8.79224569    |0.0532620383  |100           
      590.625     90.9585556    |8.98429855    |0.0571458411       90.9488169    |8.99530504    |0.0558780755  |100           
     604.6875     90.7535537    |9.18659719    |0.0598491304       90.7436056    |9.1978399     |0.0585545308  |100           
       618.75     90.5490138    |9.38837368    |0.0626125337       90.5388573    |9.39985147    |0.0612912482  |100           
     632.8125     90.3449349    |9.58962922    |0.065435896        90.334571     |9.60134095    |0.0640880719  |100           
      646.875     90.1413159    |9.790365      |0.0683190622       90.1307456    |9.80230955    |0.0669448467  |100           
     660.9375     89.9381559    |9.99058222    |0.0712618781       89.9273801    |10.0027584    |0.0698614174  |100           
        675.0     89.7354538    |10.1902821    |0.0742641894       89.7244735    |10.2026888    |0.0728376296  |100           
     689.0625     89.5332084    |10.3894657    |0.0773258424       89.5220247    |10.4021019    |0.0758733288  |100           
      703.125     89.331419     |10.5881344    |0.0804466837       89.3200328    |10.6009989    |0.0789683613  |100           
     717.1875     89.1300843    |10.7862892    |0.0836265602       89.1184965    |10.7993809    |0.0821225734  |100           
       731.25     88.9292033    |10.9839313    |0.0868653193       88.917415     |10.9972492    |0.0853358119  |100           
     745.3125     88.7287752    |11.181062     |0.0901628085       88.7167873    |11.1946048    |0.0886079239  |100           
      759.375     88.5287987    |11.3776824    |0.0935188758       88.5166122    |11.3914491    |0.091938757   |100           
     773.4375     88.329273     |11.5737937    |0.0969333697       88.3168887    |11.5877831    |0.095328159   |100           
        787.5     88.1301969    |11.769397     |0.100406139        88.1176159    |11.7836081    |0.098775978   |100           
     801.5625     87.9315695    |11.9644935    |0.103937032        87.9187928    |11.9789252    |0.102282063   |100           
      815.625     87.7333898    |12.1590843    |0.107525899        87.7204182    |12.1737355    |0.105846262   |100           
     829.6875     87.5356567    |12.3531707    |0.111172589        87.5224912    |12.3680403    |0.109468425   |100           
       843.75     87.3383693    |12.5467537    |0.114876952        87.3250109    |12.5618407    |0.113148401   |100           
     857.8125     87.1415265    |12.7398346    |0.11863884         87.1279761    |12.7551379    |0.11688604    |100           
      871.875     86.9451274    |12.9324145    |0.122458102        86.9313859    |12.9479329    |0.120681193   |100           
     885.9375     86.7491709    |13.1244945    |0.126334589        86.7352393    |13.140227     |0.124533709   |100           
        900.0     86.5536561    |13.3160757    |0.130268154        86.5395352    |13.3320214    |0.128443441   |100           
     914.0625     86.3585819    |13.5071594    |0.134258647        86.3442727    |13.523317     |0.13241024    |100           
      928.125     86.1639474    |13.6977467    |0.138305922        86.1494508    |13.7141152    |0.136433956   |100           
     942.1875     85.9697515    |13.8878386    |0.14240983         85.9550685    |13.9044171    |0.140514442   |100           
       956.25     85.7759933    |14.0774364    |0.146570224        85.7611248    |14.0942237    |0.14465155    |100           
     970.3125     85.5826718    |14.2665412    |0.150786957        85.5676186    |14.2835362    |0.148845133   |100           
      984.375     85.3897861    |14.4551541    |0.155059884        85.3745491    |14.4723558    |0.153095044   |100           
     998.4375     85.197335     |14.6432761    |0.159388857        85.1819152    |14.6606836    |0.157401137   |100           
       1012.5     85.0053177    |14.8309086    |0.163773731        84.989716     |14.8485207    |0.161763264   |100           
    1026.5625     84.8137331    |15.0180525    |0.16821436         84.7979504    |15.0358683    |0.16618128    |100           
     1040.625     84.6225804    |15.204709     |0.172710599        84.6066176    |15.2227274    |0.170655039   |100           
    1054.6875     84.4318584    |15.3908793    |0.177262304        84.4157164    |15.4090992    |0.175184396   |100           
      1068.75     84.2415664    |15.5765643    |0.181869329        84.225246     |15.5949848    |0.179769207   |100           
    1082.8125     84.0517031    |15.7617653    |0.186531531        84.0352053    |15.7803854    |0.184409325   |100           
     1096.875     83.8622679    |15.9464834    |0.191248765        83.8455934    |15.9653019    |0.189104607   |100           
    1110.9375     83.6732595    |16.1307196    |0.196020889        83.6564094    |16.1497357    |0.193854909   |100           
       1125.0     83.4846771    |16.3144751    |0.200847759        83.4676522    |16.3336877    |0.198660088   |100           
    1139.0625     83.2965198    |16.497751     |0.205729231        83.279321     |16.517159     |0.203519999   |100           
     1153.125     83.1087865    |16.6805483    |0.210665164        83.0914146    |16.7001509    |0.208434501   |100           
    1167.1875     82.9214764    |16.8628682    |0.215655416        82.9039323    |16.8826643    |0.213403449   |100           
      1181.25     82.7345884    |17.0447118    |0.220699844        82.7168729    |17.0647004    |0.218426702   |100           
    1195.3125     82.5481216    |17.2260801    |0.225798307        82.5302357    |17.2462602    |0.223504119   |100           
     1209.375     82.3620751    |17.4069743    |0.230950663        82.3440195    |17.4273449    |0.228635556   |100           
    1223.4375     82.1764478    |17.5873954    |0.236156772        82.1582235    |17.6079556    |0.233820873   |100           
       1237.5     81.991239     |17.7673445    |0.241416493        81.9728468    |17.7880933    |0.239059929   |100           
    1251.5625     81.8064476    |17.9468228    |0.246729686        81.7878883    |17.9677591    |0.244352583   |100           
     1265.625     81.6220726    |18.1258312    |0.252096211        81.6033471    |18.1469542    |0.249698695   |100           
    1279.6875     81.4381132    |18.3043709    |0.257515928        81.4192224    |18.3256795    |0.255098124   |100           
      1293.75     81.2545684    |18.4824429    |0.262988698        81.235513     |18.5039362    |0.260550731   |100           
    1307.8125     81.0714373    |18.6600484    |0.268514382        81.0522182    |18.6817254    |0.266056376   |100           
     1321.875     80.8887189    |18.8371883    |0.274092841        80.869337     |18.8590481    |0.271614921   |100           
    1335.9375     80.7064123    |19.0138638    |0.279723938        80.6868684    |19.0359054    |0.277226226   |100           
       1350.0     80.5245166    |19.1900759    |0.285407533        80.5048115    |19.2122983    |0.282890153   |100           
    1364.0625     80.3430309    |19.3658257    |0.291143489        80.3231654    |19.388228     |0.288606563   |100           
     1378.125     80.1619541    |19.5411142    |0.296931669        80.1419291    |19.5636955    |0.29437532    |100           
